Id,WnvPresent
1,0.0
2,0.005
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.005
10,0.005
11,0.005
12,0.005
13,0.005
14,0.005
15,0.005
16,0.005
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0025
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0175
74,0.0325
75,0.0275
76,0.0275
77,0.0275
78,0.0275
79,0.0275
80,0.0275
81,0.005
82,0.0
83,0.0025
84,0.0025
85,0.0025
86,0.0025
87,0.0025
88,0.0025
89,0.2425
90,0.2225
91,0.2275
92,0.2275
93,0.2275
94,0.2275
95,0.2275
96,0.2275
97,0.045
98,0.0125
99,0.035
100,0.035
101,0.035
102,0.035
103,0.035
104,0.035
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.005
114,0.005
115,0.005
116,0.005
117,0.005
118,0.005
119,0.005
120,0.005
121,0.025
122,0.025
123,0.0275
124,0.0275
125,0.0275
126,0.0275
127,0.0275
128,0.0275
129,0.0025
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0575
138,0.01
139,0.035
140,0.035
141,0.035
142,0.035
143,0.035
144,0.035
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0225
162,0.0175
163,0.0225
164,0.0225
165,0.0225
166,0.0225
167,0.0225
168,0.0225
169,0.005
170,0.0575
171,0.0375
172,0.0375
173,0.0375
174,0.0375
175,0.0375
176,0.0375
177,0.0
178,0.0025
179,0.0025
180,0.0025
181,0.0025
182,0.0025
183,0.0025
184,0.0025
185,0.0
186,0.0025
187,0.0025
188,0.0025
189,0.0025
190,0.0025
191,0.0025
192,0.0025
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.01
210,0.0075
211,0.0075
212,0.0075
213,0.0075
214,0.0075
215,0.0075
216,0.0075
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.005
234,0.0175
235,0.0075
236,0.0075
237,0.005
238,0.0075
239,0.0075
240,0.0075
241,0.005
242,0.0025
243,0.0025
244,0.0025
245,0.0025
246,0.0025
247,0.0025
248,0.0025
249,0.0075
250,0.0575
251,0.0375
252,0.0375
253,0.0375
254,0.0375
255,0.0375
256,0.0375
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0025
267,0.0025
268,0.0025
269,0.0025
270,0.0025
271,0.0025
272,0.0025
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.005
282,0.0225
283,0.0175
284,0.0175
285,0.0175
286,0.0175
287,0.0175
288,0.0175
289,0.045
290,0.05
291,0.0525
292,0.0525
293,0.0525
294,0.0525
295,0.0525
296,0.0525
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.025
322,0.07
323,0.045
324,0.045
325,0.0425
326,0.045
327,0.045
328,0.045
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0025
339,0.0025
340,0.0025
341,0.0025
342,0.0025
343,0.0025
344,0.0025
345,0.0
346,0.0025
347,0.0025
348,0.0025
349,0.0025
350,0.0025
351,0.0025
352,0.0025
353,0.0
354,0.0125
355,0.005
356,0.005
357,0.005
358,0.005
359,0.005
360,0.005
361,0.005
362,0.0025
363,0.0025
364,0.0025
365,0.0025
366,0.0025
367,0.0025
368,0.0025
369,0.005
370,0.0075
371,0.0075
372,0.0075
373,0.0075
374,0.0075
375,0.0075
376,0.0075
377,0.09
378,0.085
379,0.0925
380,0.0925
381,0.0925
382,0.0925
383,0.0925
384,0.0925
385,0.005
386,0.0075
387,0.0075
388,0.0075
389,0.0075
390,0.0075
391,0.0075
392,0.0075
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.21
442,0.1875
443,0.195
444,0.195
445,0.195
446,0.195
447,0.195
448,0.195
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0775
458,0.07
459,0.07
460,0.07
461,0.07
462,0.07
463,0.07
464,0.07
465,0.0025
466,0.0075
467,0.0075
468,0.0075
469,0.0075
470,0.0075
471,0.0075
472,0.0075
473,0.005
474,0.0
475,0.005
476,0.005
477,0.005
478,0.005
479,0.005
480,0.005
481,0.005
482,0.0
483,0.005
484,0.005
485,0.005
486,0.005
487,0.005
488,0.005
489,0.0225
490,0.02
491,0.0225
492,0.0225
493,0.0225
494,0.0225
495,0.0225
496,0.0225
497,0.0025
498,0.0025
499,0.0025
500,0.0025
501,0.0025
502,0.0025
503,0.0025
504,0.0025
505,0.005
506,0.0175
507,0.0125
508,0.0125
509,0.0125
510,0.0125
511,0.0125
512,0.0125
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.005
554,0.015
555,0.005
556,0.005
557,0.005
558,0.005
559,0.005
560,0.005
561,0.0
562,0.0025
563,0.0025
564,0.0025
565,0.0025
566,0.0025
567,0.0025
568,0.0025
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0
609,0.0
610,0.0
611,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.0
632,0.0
633,0.0025
634,0.0025
635,0.0025
636,0.0025
637,0.0025
638,0.0025
639,0.0025
640,0.0025
641,0.0025
642,0.0025
643,0.0025
644,0.0025
645,0.0025
646,0.0025
647,0.0025
648,0.0025
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.0
656,0.0
657,0.0
658,0.0
659,0.0
660,0.0
661,0.0
662,0.0
663,0.0
664,0.0
665,0.0225
666,0.05
667,0.03
668,0.03
669,0.03
670,0.03
671,0.03
672,0.03
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,0.0
681,0.0025
682,0.0025
683,0.0025
684,0.0025
685,0.0025
686,0.0025
687,0.0025
688,0.0025
689,0.0
690,0.0025
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0025
698,0.0025
699,0.0025
700,0.0025
701,0.0025
702,0.0025
703,0.0025
704,0.0025
705,0.0025
706,0.0025
707,0.0025
708,0.0025
709,0.0025
710,0.0025
711,0.0025
712,0.0025
713,0.0
714,0.0
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,0.0
729,0.0
730,0.0
731,0.0
732,0.0
733,0.0
734,0.0
735,0.0
736,0.0
737,0.0
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,0.0
752,0.0
753,0.0025
754,0.0
755,0.0025
756,0.0025
757,0.0025
758,0.0025
759,0.0025
760,0.0025
761,0.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0025
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,0.0
777,0.0
778,0.0
779,0.0
780,0.0
781,0.0
782,0.0
783,0.0
784,0.0
785,0.0
786,0.0025
787,0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,0.0
798,0.0
799,0.0
800,0.0
801,0.0
802,0.0
803,0.0
804,0.0
805,0.0
806,0.0
807,0.0
808,0.0
809,0.0
810,0.0025
811,0.0
812,0.0
813,0.0
814,0.0
815,0.0
816,0.0
817,0.105
818,0.01
819,0.0125
820,0.0175
821,0.0175
822,0.0175
823,0.0175
824,0.0175
825,0.0
826,0.0
827,0.0
828,0.0
829,0.0
830,0.0
831,0.0
832,0.0
833,0.0025
834,0.01
835,0.005
836,0.005
837,0.005
838,0.005
839,0.005
840,0.005
841,0.0
842,0.0025
843,0.0
844,0.0
845,0.0
846,0.0
847,0.0
848,0.0
849,0.0025
850,0.0
851,0.0
852,0.0
853,0.0
854,0.0
855,0.0
856,0.0
857,0.0
858,0.0
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,0.0
872,0.0
873,0.0625
874,0.0625
875,0.06
876,0.06
877,0.06
878,0.06
879,0.06
880,0.06
881,0.0
882,0.0
883,0.0
884,0.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0025
890,0.015
891,0.01
892,0.01
893,0.01
894,0.01
895,0.01
896,0.01
897,0.0
898,0.005
899,0.005
900,0.005
901,0.005
902,0.005
903,0.005
904,0.005
905,0.0175
906,0.0375
907,0.0375
908,0.025
909,0.025
910,0.025
911,0.025
912,0.025
913,0.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.0
920,0.0
921,0.0
922,0.0
923,0.0
924,0.0
925,0.0
926,0.0
927,0.0
928,0.0
929,0.0
930,0.0
931,0.0
932,0.0
933,0.0
934,0.0
935,0.0
936,0.0
937,0.025
938,0.0175
939,0.0025
940,0.0125
941,0.0125
942,0.0125
943,0.0125
944,0.0125
945,0.015
946,0.0125
947,0.005
948,0.015
949,0.015
950,0.015
951,0.015
952,0.015
953,0.0075
954,0.025
955,0.0175
956,0.0175
957,0.0175
958,0.0175
959,0.0175
960,0.0175
961,0.005
962,0.005
963,0.005
964,0.005
965,0.005
966,0.005
967,0.005
968,0.005
969,0.0
970,0.005
971,0.0025
972,0.0025
973,0.0025
974,0.0025
975,0.0025
976,0.0025
977,0.0275
978,0.0075
979,0.025
980,0.025
981,0.025
982,0.025
983,0.025
984,0.025
985,0.0
986,0.0
987,0.0
988,0.0
989,0.0
990,0.0
991,0.0
992,0.0
993,0.0
994,0.0
995,0.0
996,0.0
997,0.0
998,0.0
999,0.0
1000,0.0
1001,0.0
1002,0.0125
